trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
22510004000816,2:19:00,2:19:00,740012548,18,0,0
22510004000510,6:34:00,6:34:00,740012548,18,0,0
22510004000512,7:06:00,7:06:00,740012548,18,0,0
22510004000514,7:36:00,7:36:00,740012548,18,0,0
22510004000516,8:06:00,8:06:00,740012548,18,0,0
22510004000518,8:36:00,8:36:00,740012548,18,0,0
22510004000520,9:06:00,9:06:00,740012548,18,0,0
22510004000522,9:36:00,9:36:00,740012548,18,0,0
22510004000586,20:19:00,20:19:00,740012548,18,0,0
22510004000588,20:39:00,20:39:00,740012548,18,0,0
22510004000590,20:59:00,20:59:00,740012548,18,0,0
22510004000592,21:19:00,21:19:00,740012548,18,0,0
22510004000594,21:39:00,21:39:00,740012548,18,0,0
22510004000596,21:59:00,21:59:00,740012548,18,0,0
22510004000598,22:19:00,22:19:00,740012548,18,0,0
22510004000600,22:39:00,22:39:00,740012548,18,0,0
22510004000602,22:59:00,22:59:00,740012548,18,0,0
22510004000604,23:19:00,23:19:00,740012548,18,0,0
22510004000606,23:39:00,23:39:00,740012548,18,0,0
22510004000608,23:59:00,23:59:00,740012548,18,0,0
22510004000710,6:34:00,6:34:00,740012548,18,0,0
22510004000712,7:06:00,7:06:00,740012548,18,0,0
22510004000714,7:36:00,7:36:00,740012548,18,0,0
22510004000716,8:06:00,8:06:00,740012548,18,0,0
22510004000718,8:36:00,8:36:00,740012548,18,0,0
22510004000720,9:06:00,9:06:00,740012548,18,0,0
22510004000722,9:36:00,9:36:00,740012548,18,0,0
22510004000786,20:19:00,20:19:00,740012548,18,0,0
22510004000788,20:39:00,20:39:00,740012548,18,0,0
22510004000790,20:59:00,20:59:00,740012548,18,0,0
22510004000792,21:19:00,21:19:00,740012548,18,0,0
22510004000794,21:39:00,21:39:00,740012548,18,0,0
22510004000796,21:59:00,21:59:00,740012548,18,0,0
22510004000798,22:19:00,22:19:00,740012548,18,0,0
22510004000800,22:39:00,22:39:00,740012548,18,0,0
22510004000802,22:59:00,22:59:00,740012548,18,0,0
22510004000804,23:19:00,23:19:00,740012548,18,0,0
22510004000806,23:39:00,23:39:00,740012548,18,0,0
22510004000808,23:59:00,23:59:00,740012548,18,0,0
22510004000810,0:19:00,0:19:00,740012548,18,0,0
22510004000610,0:19:00,0:19:00,740012548,18,0,0
22510004000612,0:44:00,0:44:00,740012548,18,0,0
22510004000614,1:39:00,1:39:00,740012548,18,0,0
22510004000616,2:19:00,2:19:00,740012548,18,0,0
22510004000524,10:05:00,10:05:00,740012548,18,0,0
22510004000724,10:05:00,10:05:00,740012548,18,0,0
22510004000526,10:21:00,10:21:00,740012548,18,0,0
22510004000528,10:41:00,10:41:00,740012548,18,0,0
22510004000530,11:01:00,11:01:00,740012548,18,0,0
22510004000532,11:21:00,11:21:00,740012548,18,0,0
22510004000534,11:41:00,11:41:00,740012548,18,0,0
22510004000568,17:21:00,17:21:00,740012548,18,0,0
22510004000570,17:41:00,17:41:00,740012548,18,0,0
22510004000572,18:01:00,18:01:00,740012548,18,0,0
22510004000574,18:21:00,18:21:00,740012548,18,0,0
22510004000576,18:41:00,18:41:00,740012548,18,0,0
22510004000578,19:01:00,19:01:00,740012548,18,0,0
22510004000580,19:21:00,19:21:00,740012548,18,0,0
22510004000582,19:41:00,19:41:00,740012548,18,0,0
22510004000726,10:21:00,10:21:00,740012548,18,0,0
22510004000728,10:41:00,10:41:00,740012548,18,0,0
22510004000730,11:01:00,11:01:00,740012548,18,0,0
22510004000732,11:21:00,11:21:00,740012548,18,0,0
22510004000734,11:41:00,11:41:00,740012548,18,0,0
22510004000768,17:21:00,17:21:00,740012548,18,0,0
22510004000770,17:41:00,17:41:00,740012548,18,0,0
22510004000772,18:01:00,18:01:00,740012548,18,0,0
22510004000774,18:21:00,18:21:00,740012548,18,0,0
22510004000776,18:41:00,18:41:00,740012548,18,0,0
22510004000778,19:01:00,19:01:00,740012548,18,0,0
22510004000780,19:21:00,19:21:00,740012548,18,0,0
22510004000782,19:41:00,19:41:00,740012548,18,0,0
22510004000536,12:01:00,12:01:00,740012548,18,0,0
22510004000736,12:01:00,12:01:00,740012548,18,0,0
22510004000538,12:22:00,12:22:00,740012548,18,0,0
22510004000540,12:42:00,12:42:00,740012548,18,0,0
22510004000542,13:02:00,13:02:00,740012548,18,0,0
22510004000544,13:22:00,13:22:00,740012548,18,0,0
22510004000546,13:42:00,13:42:00,740012548,18,0,0
22510004000548,14:02:00,14:02:00,740012548,18,0,0
22510004000550,14:22:00,14:22:00,740012548,18,0,0
22510004000552,14:42:00,14:42:00,740012548,18,0,0
22510004000554,15:02:00,15:02:00,740012548,18,0,0
22510004000556,15:22:00,15:22:00,740012548,18,0,0
22510004000558,15:42:00,15:42:00,740012548,18,0,0
22510004000560,16:02:00,16:02:00,740012548,18,0,0
22510004000562,16:22:00,16:22:00,740012548,18,0,0
22510004000564,16:42:00,16:42:00,740012548,18,0,0
22510004000738,12:22:00,12:22:00,740012548,18,0,0
22510004000740,12:42:00,12:42:00,740012548,18,0,0
22510004000742,13:02:00,13:02:00,740012548,18,0,0
22510004000744,13:22:00,13:22:00,740012548,18,0,0
22510004000746,13:42:00,13:42:00,740012548,18,0,0
22510004000748,14:02:00,14:02:00,740012548,18,0,0
22510004000750,14:22:00,14:22:00,740012548,18,0,0
